,Year,Indicator,Percent Pending Investigation,State Name,data
61746,2017,Number of Drug Overdose Deaths,0.022862369,Wyoming,66
61884,2018,Number of Drug Overdose Deaths,0.021440823,Wyoming,61
62033,2019,Number of Drug Overdose Deaths,0.042553191,Wyoming,72
62172,2020,Number of Drug Overdose Deaths,0.0,Wyoming,101
62315,2021,Number of Drug Overdose Deaths,0.0,Wyoming,101
62457,2022,Number of Drug Overdose Deaths,0.036663611,Wyoming,123
62714,2015,Number of Drug Overdose Deaths,0.038802661,New York City,959
62857,2016,Number of Drug Overdose Deaths,0.040530582,New York City,1424
63006,2017,Number of Drug Overdose Deaths,0.044183435,New York City,1493
63144,2018,Number of Drug Overdose Deaths,0.052649734,New York City,1482
63293,2019,Number of Drug Overdose Deaths,0.086142116,New York City,1548
63432,2020,Number of Drug Overdose Deaths,0.083999854,New York City,2131
63575,2021,Number of Drug Overdose Deaths,0.081824047,New York City,2775
63717,2022,Number of Drug Overdose Deaths,0.155125751,New York City,3142
