,Year,Geography,GeographyType,Indicator,Value,ValueType,Demographics,DemographicsType
1880,2017,Putnam,County,Inpatient Stays Involving All Drug Overdose,76.0,Count,,
1881,2017,Putnam,County,Outpatient Visits Involving All Drug Overdose,180.0,Count,,
1882,2017,Putnam,County,Inpatient Stays Involving All Stimulant Overdose,14.0,Count,,
1883,2017,Putnam,County,Outpatient Visits Involving All Stimulant Overdose,24.0,Count,,
1896,2017,Rhea,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
1897,2017,Rhea,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
1898,2017,Rhea,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
1899,2017,Rhea,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
1900,2017,Rhea,County,Inpatient Stays Involving Heroin Overdose,1.0,Count,,
1901,2017,Rhea,County,Outpatient Visits Involving Heroin Overdose,3.0,Count,,
1902,2017,Rhea,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,12.0,Count,,
1903,2017,Rhea,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,13.0,Count,,
1904,2017,Rhea,County,Inpatient Stays Involving All Drug Overdose,39.0,Count,,
1905,2017,Rhea,County,Outpatient Visits Involving All Drug Overdose,78.0,Count,,
1906,2017,Rhea,County,Inpatient Stays Involving All Stimulant Overdose,3.0,Count,,
1907,2017,Rhea,County,Outpatient Visits Involving All Stimulant Overdose,3.0,Count,,
1920,2017,Roane,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),9.0,Count,,
1921,2017,Roane,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),10.0,Count,,
1922,2017,Roane,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
1923,2017,Roane,County,Outpatient Visits Involving Cocaine Overdose,2.0,Count,,
1924,2017,Roane,County,Inpatient Stays Involving Heroin Overdose,1.0,Count,,
1925,2017,Roane,County,Outpatient Visits Involving Heroin Overdose,21.0,Count,,
1926,2017,Roane,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,19.0,Count,,
1927,2017,Roane,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,32.0,Count,,
1928,2017,Roane,County,Inpatient Stays Involving All Drug Overdose,62.0,Count,,
1929,2017,Roane,County,Outpatient Visits Involving All Drug Overdose,161.0,Count,,
1930,2017,Roane,County,Inpatient Stays Involving All Stimulant Overdose,9.0,Count,,
1931,2017,Roane,County,Outpatient Visits Involving All Stimulant Overdose,11.0,Count,,
1944,2017,Robertson,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
1945,2017,Robertson,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),2.0,Count,,
1946,2017,Robertson,County,Inpatient Stays Involving Cocaine Overdose,4.0,Count,,
1947,2017,Robertson,County,Outpatient Visits Involving Cocaine Overdose,7.0,Count,,
1948,2017,Robertson,County,Inpatient Stays Involving Heroin Overdose,6.0,Count,,
1949,2017,Robertson,County,Outpatient Visits Involving Heroin Overdose,28.0,Count,,
1950,2017,Robertson,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,18.0,Count,,
1951,2017,Robertson,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,34.0,Count,,
1952,2017,Robertson,County,Inpatient Stays Involving All Drug Overdose,86.0,Count,,
1953,2017,Robertson,County,Outpatient Visits Involving All Drug Overdose,194.0,Count,,
1954,2017,Robertson,County,Inpatient Stays Involving All Stimulant Overdose,7.0,Count,,
1955,2017,Robertson,County,Outpatient Visits Involving All Stimulant Overdose,10.0,Count,,
1968,2017,Rutherford,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),15.0,Count,,
1969,2017,Rutherford,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),25.0,Count,,
1970,2017,Rutherford,County,Inpatient Stays Involving Cocaine Overdose,12.0,Count,,
1971,2017,Rutherford,County,Outpatient Visits Involving Cocaine Overdose,17.0,Count,,
1972,2017,Rutherford,County,Inpatient Stays Involving Heroin Overdose,18.0,Count,,
1973,2017,Rutherford,County,Outpatient Visits Involving Heroin Overdose,131.0,Count,,
1974,2017,Rutherford,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,65.0,Count,,
1975,2017,Rutherford,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,118.0,Count,,
1976,2017,Rutherford,County,Inpatient Stays Involving All Drug Overdose,336.0,Count,,
1977,2017,Rutherford,County,Outpatient Visits Involving All Drug Overdose,758.0,Count,,
1978,2017,Rutherford,County,Inpatient Stays Involving All Stimulant Overdose,26.0,Count,,
1979,2017,Rutherford,County,Outpatient Visits Involving All Stimulant Overdose,43.0,Count,,
1992,2017,Scott,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),0.0,Count,,
1993,2017,Scott,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),0.0,Count,,
1994,2017,Scott,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
1995,2017,Scott,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
1996,2017,Scott,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
1997,2017,Scott,County,Outpatient Visits Involving Heroin Overdose,0.0,Count,,
1998,2017,Scott,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,6.0,Count,,
1999,2017,Scott,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,6.0,Count,,
2000,2017,Scott,County,Inpatient Stays Involving All Drug Overdose,25.0,Count,,
2001,2017,Scott,County,Outpatient Visits Involving All Drug Overdose,47.0,Count,,
2002,2017,Scott,County,Inpatient Stays Involving All Stimulant Overdose,0.0,Count,,
2003,2017,Scott,County,Outpatient Visits Involving All Stimulant Overdose,0.0,Count,,
2016,2017,Sequatchie,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
2017,2017,Sequatchie,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),4.0,Count,,
2018,2017,Sequatchie,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
2019,2017,Sequatchie,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
2020,2017,Sequatchie,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
2021,2017,Sequatchie,County,Outpatient Visits Involving Heroin Overdose,0.0,Count,,
2022,2017,Sequatchie,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,4.0,Count,,
2023,2017,Sequatchie,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,6.0,Count,,
2024,2017,Sequatchie,County,Inpatient Stays Involving All Drug Overdose,15.0,Count,,
2025,2017,Sequatchie,County,Outpatient Visits Involving All Drug Overdose,34.0,Count,,
2026,2017,Sequatchie,County,Inpatient Stays Involving All Stimulant Overdose,2.0,Count,,
2027,2017,Sequatchie,County,Outpatient Visits Involving All Stimulant Overdose,5.0,Count,,
2040,2017,Sevier,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),12.0,Count,,
2041,2017,Sevier,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),8.0,Count,,
2042,2017,Sevier,County,Inpatient Stays Involving Cocaine Overdose,3.0,Count,,
2043,2017,Sevier,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
2044,2017,Sevier,County,Inpatient Stays Involving Heroin Overdose,9.0,Count,,
2045,2017,Sevier,County,Outpatient Visits Involving Heroin Overdose,75.0,Count,,
2046,2017,Sevier,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,26.0,Count,,
2047,2017,Sevier,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,30.0,Count,,
2048,2017,Sevier,County,Inpatient Stays Involving All Drug Overdose,96.0,Count,,
2049,2017,Sevier,County,Outpatient Visits Involving All Drug Overdose,264.0,Count,,
2050,2017,Sevier,County,Inpatient Stays Involving All Stimulant Overdose,14.0,Count,,
2051,2017,Sevier,County,Outpatient Visits Involving All Stimulant Overdose,9.0,Count,,
2064,2017,Shelby,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),32.0,Count,,
2065,2017,Shelby,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),29.0,Count,,
2066,2017,Shelby,County,Inpatient Stays Involving Cocaine Overdose,115.0,Count,,
2067,2017,Shelby,County,Outpatient Visits Involving Cocaine Overdose,32.0,Count,,
2068,2017,Shelby,County,Inpatient Stays Involving Heroin Overdose,69.0,Count,,
2069,2017,Shelby,County,Outpatient Visits Involving Heroin Overdose,478.0,Count,,
2070,2017,Shelby,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,138.0,Count,,
2071,2017,Shelby,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,297.0,Count,,
2072,2017,Shelby,County,Inpatient Stays Involving All Drug Overdose,744.0,Count,,
2073,2017,Shelby,County,Outpatient Visits Involving All Drug Overdose,2139.0,Count,,
2074,2017,Shelby,County,Inpatient Stays Involving All Stimulant Overdose,139.0,Count,,
2075,2017,Shelby,County,Outpatient Visits Involving All Stimulant Overdose,61.0,Count,,
2088,2017,Smith,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
2089,2017,Smith,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),9.0,Count,,
2090,2017,Smith,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
2091,2017,Smith,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
2092,2017,Smith,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
2093,2017,Smith,County,Outpatient Visits Involving Heroin Overdose,1.0,Count,,
2094,2017,Smith,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,3.0,Count,,
2095,2017,Smith,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,7.0,Count,,
2096,2017,Smith,County,Inpatient Stays Involving All Drug Overdose,19.0,Count,,
2097,2017,Smith,County,Outpatient Visits Involving All Drug Overdose,59.0,Count,,
2098,2017,Smith,County,Inpatient Stays Involving All Stimulant Overdose,1.0,Count,,
2099,2017,Smith,County,Outpatient Visits Involving All Stimulant Overdose,9.0,Count,,
2160,2017,Stewart,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),2.0,Count,,
2161,2017,Stewart,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
2162,2017,Stewart,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
2163,2017,Stewart,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
2164,2017,Stewart,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
2165,2017,Stewart,County,Outpatient Visits Involving Heroin Overdose,0.0,Count,,
2166,2017,Stewart,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,3.0,Count,,
2167,2017,Stewart,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,6.0,Count,,
2168,2017,Stewart,County,Inpatient Stays Involving All Drug Overdose,23.0,Count,,
2169,2017,Stewart,County,Outpatient Visits Involving All Drug Overdose,22.0,Count,,
2170,2017,Stewart,County,Inpatient Stays Involving All Stimulant Overdose,2.0,Count,,
2171,2017,Stewart,County,Outpatient Visits Involving All Stimulant Overdose,1.0,Count,,
2184,2017,Sullivan,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),28.0,Count,,
2185,2017,Sullivan,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),14.0,Count,,
2186,2017,Sullivan,County,Inpatient Stays Involving Cocaine Overdose,7.0,Count,,
2187,2017,Sullivan,County,Outpatient Visits Involving Cocaine Overdose,3.0,Count,,
2188,2017,Sullivan,County,Inpatient Stays Involving Heroin Overdose,7.0,Count,,
2189,2017,Sullivan,County,Outpatient Visits Involving Heroin Overdose,9.0,Count,,
2190,2017,Sullivan,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,43.0,Count,,
2191,2017,Sullivan,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,35.0,Count,,
2192,2017,Sullivan,County,Inpatient Stays Involving All Drug Overdose,260.0,Count,,
2193,2017,Sullivan,County,Outpatient Visits Involving All Drug Overdose,324.0,Count,,
2194,2017,Sullivan,County,Inpatient Stays Involving All Stimulant Overdose,31.0,Count,,
2195,2017,Sullivan,County,Outpatient Visits Involving All Stimulant Overdose,18.0,Count,,
2232,2017,Sumner,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),8.0,Count,,
2233,2017,Sumner,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),17.0,Count,,
2234,2017,Sumner,County,Inpatient Stays Involving Cocaine Overdose,10.0,Count,,
2235,2017,Sumner,County,Outpatient Visits Involving Cocaine Overdose,6.0,Count,,
2236,2017,Sumner,County,Inpatient Stays Involving Heroin Overdose,18.0,Count,,
2237,2017,Sumner,County,Outpatient Visits Involving Heroin Overdose,75.0,Count,,
2238,2017,Sumner,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,64.0,Count,,
2239,2017,Sumner,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,56.0,Count,,
2240,2017,Sumner,County,Inpatient Stays Involving All Drug Overdose,251.0,Count,,
2241,2017,Sumner,County,Outpatient Visits Involving All Drug Overdose,420.0,Count,,
2242,2017,Sumner,County,Inpatient Stays Involving All Stimulant Overdose,23.0,Count,,
2243,2017,Sumner,County,Outpatient Visits Involving All Stimulant Overdose,24.0,Count,,
2592,2017,Tipton,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
2593,2017,Tipton,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),10.0,Count,,
2594,2017,Tipton,County,Inpatient Stays Involving Cocaine Overdose,4.0,Count,,
2595,2017,Tipton,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
2596,2017,Tipton,County,Inpatient Stays Involving Heroin Overdose,5.0,Count,,
2597,2017,Tipton,County,Outpatient Visits Involving Heroin Overdose,31.0,Count,,
2598,2017,Tipton,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,18.0,Count,,
2599,2017,Tipton,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,28.0,Count,,
2600,2017,Tipton,County,Inpatient Stays Involving All Drug Overdose,54.0,Count,,
2601,2017,Tipton,County,Outpatient Visits Involving All Drug Overdose,211.0,Count,,
2602,2017,Tipton,County,Inpatient Stays Involving All Stimulant Overdose,7.0,Count,,
2603,2017,Tipton,County,Outpatient Visits Involving All Stimulant Overdose,12.0,Count,,
2616,2017,Trousdale,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
2617,2017,Trousdale,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
2618,2017,Trousdale,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
2619,2017,Trousdale,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
2620,2017,Trousdale,County,Inpatient Stays Involving Heroin Overdose,1.0,Count,,
2621,2017,Trousdale,County,Outpatient Visits Involving Heroin Overdose,5.0,Count,,
2622,2017,Trousdale,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,2.0,Count,,
2623,2017,Trousdale,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,5.0,Count,,
2624,2017,Trousdale,County,Inpatient Stays Involving All Drug Overdose,12.0,Count,,
2625,2017,Trousdale,County,Outpatient Visits Involving All Drug Overdose,26.0,Count,,
2626,2017,Trousdale,County,Inpatient Stays Involving All Stimulant Overdose,1.0,Count,,
2627,2017,Trousdale,County,Outpatient Visits Involving All Stimulant Overdose,2.0,Count,,
2640,2017,Unicoi,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),2.0,Count,,
2641,2017,Unicoi,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),2.0,Count,,
2642,2017,Unicoi,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
2643,2017,Unicoi,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
2644,2017,Unicoi,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
2645,2017,Unicoi,County,Outpatient Visits Involving Heroin Overdose,0.0,Count,,
2646,2017,Unicoi,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,6.0,Count,,
2647,2017,Unicoi,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,4.0,Count,,
2648,2017,Unicoi,County,Inpatient Stays Involving All Drug Overdose,32.0,Count,,
2649,2017,Unicoi,County,Outpatient Visits Involving All Drug Overdose,35.0,Count,,
2650,2017,Unicoi,County,Inpatient Stays Involving All Stimulant Overdose,2.0,Count,,
2651,2017,Unicoi,County,Outpatient Visits Involving All Stimulant Overdose,2.0,Count,,
2664,2017,Union,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
2665,2017,Union,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),0.0,Count,,
2666,2017,Union,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
2667,2017,Union,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
2668,2017,Union,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
2669,2017,Union,County,Outpatient Visits Involving Heroin Overdose,7.0,Count,,
2670,2017,Union,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,8.0,Count,,
2671,2017,Union,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,7.0,Count,,
2672,2017,Union,County,Inpatient Stays Involving All Drug Overdose,14.0,Count,,
2673,2017,Union,County,Outpatient Visits Involving All Drug Overdose,44.0,Count,,
2674,2017,Union,County,Inpatient Stays Involving All Stimulant Overdose,2.0,Count,,
2675,2017,Union,County,Outpatient Visits Involving All Stimulant Overdose,0.0,Count,,
2712,2017,Van Buren,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
2713,2017,Van Buren,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),0.0,Count,,
2714,2017,Van Buren,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
2715,2017,Van Buren,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
2716,2017,Van Buren,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
2717,2017,Van Buren,County,Outpatient Visits Involving Heroin Overdose,0.0,Count,,
2718,2017,Van Buren,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,1.0,Count,,
2719,2017,Van Buren,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,1.0,Count,,
2720,2017,Van Buren,County,Inpatient Stays Involving All Drug Overdose,6.0,Count,,
2721,2017,Van Buren,County,Outpatient Visits Involving All Drug Overdose,5.0,Count,,
2722,2017,Van Buren,County,Inpatient Stays Involving All Stimulant Overdose,1.0,Count,,
2723,2017,Van Buren,County,Outpatient Visits Involving All Stimulant Overdose,0.0,Count,,
2736,2017,Warren,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),9.0,Count,,
2737,2017,Warren,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),11.0,Count,,
2738,2017,Warren,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
2739,2017,Warren,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
2740,2017,Warren,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
2741,2017,Warren,County,Outpatient Visits Involving Heroin Overdose,1.0,Count,,
2742,2017,Warren,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,25.0,Count,,
2743,2017,Warren,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,20.0,Count,,
2744,2017,Warren,County,Inpatient Stays Involving All Drug Overdose,68.0,Count,,
2745,2017,Warren,County,Outpatient Visits Involving All Drug Overdose,108.0,Count,,
2746,2017,Warren,County,Inpatient Stays Involving All Stimulant Overdose,9.0,Count,,
2747,2017,Warren,County,Outpatient Visits Involving All Stimulant Overdose,12.0,Count,,
2760,2017,Washington,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),15.0,Count,,
2761,2017,Washington,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),5.0,Count,,
2762,2017,Washington,County,Inpatient Stays Involving Cocaine Overdose,11.0,Count,,
2763,2017,Washington,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
2764,2017,Washington,County,Inpatient Stays Involving Heroin Overdose,2.0,Count,,
2765,2017,Washington,County,Outpatient Visits Involving Heroin Overdose,6.0,Count,,
2766,2017,Washington,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,32.0,Count,,
2767,2017,Washington,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,19.0,Count,,
2768,2017,Washington,County,Inpatient Stays Involving All Drug Overdose,193.0,Count,,
2769,2017,Washington,County,Outpatient Visits Involving All Drug Overdose,174.0,Count,,
2770,2017,Washington,County,Inpatient Stays Involving All Stimulant Overdose,24.0,Count,,
2771,2017,Washington,County,Outpatient Visits Involving All Stimulant Overdose,8.0,Count,,
2784,2017,Wayne,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
2785,2017,Wayne,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),11.0,Count,,
2786,2017,Wayne,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
2787,2017,Wayne,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
2788,2017,Wayne,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
2789,2017,Wayne,County,Outpatient Visits Involving Heroin Overdose,0.0,Count,,
2790,2017,Wayne,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,3.0,Count,,
2791,2017,Wayne,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,10.0,Count,,
2792,2017,Wayne,County,Inpatient Stays Involving All Drug Overdose,14.0,Count,,
2793,2017,Wayne,County,Outpatient Visits Involving All Drug Overdose,61.0,Count,,
2794,2017,Wayne,County,Inpatient Stays Involving All Stimulant Overdose,1.0,Count,,
2795,2017,Wayne,County,Outpatient Visits Involving All Stimulant Overdose,11.0,Count,,
2808,2017,Weakley,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),2.0,Count,,
2809,2017,Weakley,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),4.0,Count,,
2810,2017,Weakley,County,Inpatient Stays Involving Cocaine Overdose,2.0,Count,,
2811,2017,Weakley,County,Outpatient Visits Involving Cocaine Overdose,3.0,Count,,
2812,2017,Weakley,County,Inpatient Stays Involving Heroin Overdose,1.0,Count,,
2813,2017,Weakley,County,Outpatient Visits Involving Heroin Overdose,1.0,Count,,
2814,2017,Weakley,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,6.0,Count,,
2815,2017,Weakley,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,10.0,Count,,
2816,2017,Weakley,County,Inpatient Stays Involving All Drug Overdose,30.0,Count,,
2817,2017,Weakley,County,Outpatient Visits Involving All Drug Overdose,78.0,Count,,
2818,2017,Weakley,County,Inpatient Stays Involving All Stimulant Overdose,3.0,Count,,
2819,2017,Weakley,County,Outpatient Visits Involving All Stimulant Overdose,6.0,Count,,
2856,2017,White,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),2.0,Count,,
2857,2017,White,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
2858,2017,White,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
2859,2017,White,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
2860,2017,White,County,Inpatient Stays Involving Heroin Overdose,1.0,Count,,
2861,2017,White,County,Outpatient Visits Involving Heroin Overdose,2.0,Count,,
2862,2017,White,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,22.0,Count,,
2863,2017,White,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,17.0,Count,,
2864,2017,White,County,Inpatient Stays Involving All Drug Overdose,41.0,Count,,
2865,2017,White,County,Outpatient Visits Involving All Drug Overdose,78.0,Count,,
2866,2017,White,County,Inpatient Stays Involving All Stimulant Overdose,2.0,Count,,
2867,2017,White,County,Outpatient Visits Involving All Stimulant Overdose,4.0,Count,,
2880,2017,Williamson,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),5.0,Count,,
2881,2017,Williamson,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
2882,2017,Williamson,County,Inpatient Stays Involving Cocaine Overdose,3.0,Count,,
2883,2017,Williamson,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
2884,2017,Williamson,County,Inpatient Stays Involving Heroin Overdose,9.0,Count,,
2885,2017,Williamson,County,Outpatient Visits Involving Heroin Overdose,28.0,Count,,
2886,2017,Williamson,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,21.0,Count,,
2887,2017,Williamson,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,28.0,Count,,
2888,2017,Williamson,County,Inpatient Stays Involving All Drug Overdose,137.0,Count,,
2889,2017,Williamson,County,Outpatient Visits Involving All Drug Overdose,296.0,Count,,
2890,2017,Williamson,County,Inpatient Stays Involving All Stimulant Overdose,9.0,Count,,
2891,2017,Williamson,County,Outpatient Visits Involving All Stimulant Overdose,7.0,Count,,
2904,2017,Wilson,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),6.0,Count,,
2905,2017,Wilson,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),7.0,Count,,
2906,2017,Wilson,County,Inpatient Stays Involving Cocaine Overdose,4.0,Count,,
2907,2017,Wilson,County,Outpatient Visits Involving Cocaine Overdose,4.0,Count,,
2908,2017,Wilson,County,Inpatient Stays Involving Heroin Overdose,8.0,Count,,
2909,2017,Wilson,County,Outpatient Visits Involving Heroin Overdose,48.0,Count,,
2910,2017,Wilson,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,32.0,Count,,
2911,2017,Wilson,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,46.0,Count,,
2912,2017,Wilson,County,Inpatient Stays Involving All Drug Overdose,145.0,Count,,
2913,2017,Wilson,County,Outpatient Visits Involving All Drug Overdose,260.0,Count,,
2914,2017,Wilson,County,Inpatient Stays Involving All Stimulant Overdose,11.0,Count,,
2915,2017,Wilson,County,Outpatient Visits Involving All Stimulant Overdose,11.0,Count,,
2928,2018,Anderson,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),10.0,Count,,
2929,2018,Anderson,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),9.0,Count,,
2930,2018,Anderson,County,Inpatient Stays Involving Cocaine Overdose,2.0,Count,,
2931,2018,Anderson,County,Outpatient Visits Involving Cocaine Overdose,2.0,Count,,
2932,2018,Anderson,County,Inpatient Stays Involving Heroin Overdose,6.0,Count,,
2933,2018,Anderson,County,Outpatient Visits Involving Heroin Overdose,45.0,Count,,
2934,2018,Anderson,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,34.0,Count,,
2935,2018,Anderson,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,36.0,Count,,
2936,2018,Anderson,County,Inpatient Stays Involving All Drug Overdose,104.0,Count,,
2937,2018,Anderson,County,Outpatient Visits Involving All Drug Overdose,221.0,Count,,
2938,2018,Anderson,County,Inpatient Stays Involving All Stimulant Overdose,12.0,Count,,
2939,2018,Anderson,County,Outpatient Visits Involving All Stimulant Overdose,13.0,Count,,
